University,CGPA,GRE,TOEFL,IELTS,Gap_year,Ugrad_Major,Work_Experience,Degree,Paper,Funding,Ugrad,Decision
"University of California, Santa Cruz",2.85,303,113,6.7,1,Mathematics,Internship,MS,2,Full,CUET,Rejected
Michigan State University,3.57,317,87,7.6,2,CSE,Internship,PhD,0,Partial,NSU,Accepted
Dartmouth College,3.76,296,98,7.3,0,CE,Internship,PhD,2,Partial,NSU,Rejected
University of Toledo,3.29,312,91,7.6,0,ME,Full-time Job,PhD,3,Full,CUET,Rejected
Virginia Tech,3.44,308,85,7.4,0,Mathematics,None,MS,3,None,DU,Accepted
Missouri University of Science and Technology,3.36,307,92,7.5,1,Biology,Full-time Job,MS,3+,Full,DU,Accepted
Northeastern University,3.54,318,92,8.0,0,Physics,Internship,PhD,1,Partial,BUET,Accepted
University of Colorado Boulder,2.92,317,93,7.8,0,EEE,None,MS,2,Partial,KUET,Accepted
University of Utah,3.18,312,111,6.3,2,CSE,Internship,MS,2,None,KUET,Rejected
Louisiana State University,3.56,305,120,8.3,0,CE,Full-time Job,MS,3,Partial,IUT,Rejected
Rutgers University,3.27,290,93,7.4,1,Physics,Internship,PhD,3+,Partial,BRAC,Rejected
University of California Merced,3.16,311,102,7.1,2,Biology,None,PhD,2,None,RUET,Rejected
North Carolina State University,3.17,301,103,6.8,1,Mathematics,None,PhD,0,Full,KUET,Accepted
University of Michigan,3.16,311,93,7.5,0,Biology,Internship,MS,1,Partial,BUET,Rejected
Michigan State University,3.23,317,109,7.2,0,CE,None,PhD,2,Partial,DU,Rejected
University of Notre Dame,3.29,304,104,7.5,0,EEE,Full-time Job,PhD,3,Partial,BUET,Rejected
South Dakota State University,3.32,301,95,7.1,0,Biology,Full-time Job,MS,0,None,RUET,Accepted
Wayne State University,3.03,313,103,7.0,0,Physics,None,PhD,3+,Partial,KUET,Rejected
The University of Texas at Arlington,3.59,310,94,7.1,0,Physics,None,PhD,2,Full,NSU,Rejected
University of Pittsburgh,3.32,309,89,7.1,0,CSE,None,PhD,0,Full,RUET,Accepted
University of Pennsylvania,3.39,324,101,7.4,1,Physics,None,PhD,1,None,KUET,Accepted
University of Minnesota Duluth,3.17,309,99,7.7,0,EEE,Internship,PhD,1,Full,RUET,Accepted
Cornell University,2.96,305,107,8.2,1,ME,Internship,MS,1,None,KUET,Rejected
University of Notre Dame,3.58,304,105,7.1,0,EEE,None,MS,3,Partial,DU,Rejected
University of Oklahoma,3.07,321,105,8.0,1,Biology,None,MS,3,Partial,BRAC,Accepted
Purdue University,3.56,300,106,7.5,0,CSE,Full-time Job,MS,1,Full,RUET,Accepted
Syracuse University,3.74,304,88,7.2,0,CE,None,MS,2,Full,NSU,Accepted
Rutgers University,3.31,302,118,7.7,0,CSE,Internship,PhD,3,None,NSU,Rejected
Ohio State University,3.99,320,88,8.3,0,CSE,None,PhD,1,Full,NSU,Accepted
Auburn University,3.92,313,119,7.4,0,CSE,Full-time Job,MS,3,Full,IUT,Rejected
"University of California, Riverside",3.81,316,109,8.7,1,CSE,None,MS,2,Partial,BUET,Accepted
University of Washington,4.0,299,106,7.3,0,Mathematics,Full-time Job,MS,3+,None,IUT,Accepted
Georgia Institute of Technology,3.36,307,107,7.4,0,EEE,Full-time Job,PhD,1,Full,IUT,Rejected
Rensselaer Polytechnic Institute,3.28,319,113,7.3,0,CE,Internship,PhD,0,Full,CUET,Rejected
University of Central Florida,3.33,301,102,8.1,2,Mathematics,Full-time Job,PhD,2,Partial,BRAC,Rejected
University of Arizona,3.42,310,102,8.3,2,EEE,Full-time Job,PhD,2,Partial,KUET,Accepted
The University of Texas at Arlington,3.1,302,80,7.8,0,CE,Full-time Job,MS,2,None,RUET,Rejected
Rensselaer Polytechnic Institute,3.61,304,86,7.8,1,CE,Internship,MS,1,Full,NSU,Rejected
University of Idaho,3.65,319,112,7.2,1,EEE,Full-time Job,PhD,0,Full,CUET,Rejected
University of Toledo,3.47,308,106,8.4,2,CE,Full-time Job,MS,3+,Full,BUET,Accepted
University of Kansas,3.65,321,102,7.1,0,ME,Internship,MS,3+,Full,KUET,Rejected
Lehigh University,3.62,311,90,8.0,0,ME,Full-time Job,PhD,2,None,KUET,Accepted
Colorado State University,3.27,290,87,6.5,0,Physics,None,PhD,3+,Partial,IUT,Accepted
Arizona State University,3.17,316,102,7.5,0,Physics,Full-time Job,MS,3+,None,NSU,Rejected
University of Alabama,3.27,298,97,7.0,0,Biology,None,PhD,2+,None,DU,Accepted
Rutgers University,3.39,304,104,7.4,2,Mathematics,None,MS,2,None,KUET,Accepted
Rutgers University,3.4,314,80,7.4,0,CSE,Full-time Job,MS,1,None,DU,Accepted
King Fahd University of Petroleum and Minerals,3.57,328,99,7.2,2,CE,Full-time Job,MS,3,Partial,RUET,Accepted
Texas A&M University,2.63,303,100,8.2,1,CSE,Full-time Job,MS,3,None,RUET,Accepted
Florida State University,3.69,313,91,7.1,0,EEE,Internship,MS,2,Partial,KUET,Accepted
Massachusetts Institute of Technology,3.38,313,95,7.6,0,Physics,Internship,PhD,0,Full,DU,Rejected
University of Southern California,3.14,302,87,8.6,0,ME,None,MS,2,Partial,CUET,Accepted
Dartmouth College,3.09,318,116,8.2,1,Mathematics,None,PhD,2,Partial,CUET,Accepted
Fordham University,3.28,315,97,6.9,0,CSE,Full-time Job,PhD,3,None,DU,Accepted
Fordham University,3.01,295,99,6.6,0,Biology,Full-time Job,MS,1,None,BUET,Rejected
Colorado School of Mines,3.41,311,85,7.3,0,Physics,Full-time Job,MS,2,Full,NSU,Rejected
University of Virginia,3.63,320,103,7.4,0,EEE,Full-time Job,MS,3+,None,BRAC,Rejected
Clemson University,3.26,304,110,8.3,0,CSE,Full-time Job,MS,0,None,CUET,Accepted
University of South Florida,2.65,298,92,7.7,0,EEE,Full-time Job,MS,0,Full,CUET,Accepted
University of Illinois Urbana-Champaign,3.53,291,113,7.4,0,Biology,Internship,MS,2,None,NSU,Rejected
University of Texas at Austin,3.77,329,110,8.0,0,ME,Internship,PhD,2+,None,KUET,Rejected
Massachusetts Institute of Technology,3.11,310,109,7.3,2,EEE,Full-time Job,PhD,0,Partial,BUET,Rejected
Yale University,3.32,300,95,6.3,2,Biology,Full-time Job,PhD,3+,Full,CUET,Rejected
Saint Louis University,3.35,328,104,7.5,0,Physics,Full-time Job,MS,3,Full,BUET,Rejected
Stony Brook University,3.07,302,89,7.9,1,Mathematics,None,MS,3+,Partial,NSU,Accepted
University of Windsor,3.36,315,91,7.7,1,CSE,None,MS,2,Full,KUET,Rejected
"University of California, Los Angeles",3.4,314,102,8.7,0,ME,None,MS,2,Partial,IUT,Accepted
Texas A&M University,3.08,309,85,6.8,0,Physics,None,PhD,3,Partial,BRAC,Rejected
Binghamton University,3.12,316,101,7.9,2,CE,Full-time Job,PhD,2+,None,NSU,Accepted
Syracuse University,3.54,313,97,7.7,0,CSE,Internship,PhD,3+,Full,RUET,Rejected
Auburn University,3.34,314,80,7.8,0,ME,None,MS,2+,Partial,NSU,Accepted
University of Wisconsin-Madison,3.36,305,113,6.5,2,EEE,Internship,PhD,0,Partial,KUET,Rejected
University of Illinois Chicago,2.93,306,102,7.7,2,Mathematics,None,PhD,1,None,CUET,Rejected
University of Connecticut ,3.42,302,87,7.2,0,Mathematics,None,MS,1,Partial,KUET,Accepted
Texas A&M University,3.37,310,80,7.1,0,Mathematics,Internship,MS,2+,Partial,DU,Rejected
Louisiana Tech University,3.77,310,100,6.9,1,ME,Full-time Job,PhD,3,Partial,CUET,Rejected
Cornell University,3.48,299,111,7.7,0,Physics,Internship,PhD,3,Full,IUT,Rejected
University of Windsor,3.8,307,94,7.5,0,Biology,Full-time Job,PhD,1,None,KUET,Rejected
Columbia University,3.67,296,104,6.7,0,CSE,Full-time Job,PhD,0,Partial,KUET,Accepted
University of Chicago,3.08,308,117,7.0,0,Physics,None,PhD,2+,Full,NSU,Rejected
North Carolina State University,3.28,315,82,7.6,0,Physics,Full-time Job,MS,0,None,KUET,Rejected
University of Florida,3.61,320,91,6.5,2,EEE,Internship,PhD,2,Partial,KUET,Rejected
University of Minnesota Duluth,3.78,302,106,7.4,2,ME,Internship,MS,2+,None,NSU,Rejected
University of Tennessee,3.35,299,88,7.6,0,CE,Full-time Job,MS,2,None,BUET,Accepted
"University of California, Los Angeles",3.39,298,109,7.4,0,Physics,None,PhD,3,Full,KUET,Rejected
University of Notre Dame,3.16,320,100,7.2,0,ME,Full-time Job,PhD,2+,None,CUET,Accepted
University of Pittsburgh,3.72,317,104,6.9,0,Mathematics,Internship,PhD,3,Partial,NSU,Rejected
South Dakota State University,3.03,306,104,7.3,2,Mathematics,Internship,PhD,2+,Full,IUT,Accepted
Rutgers University,3.61,296,98,7.2,2,EEE,Full-time Job,PhD,1,Full,BUET,Accepted
University of North Carolina at Charlotte,3.67,316,84,7.9,0,Physics,Full-time Job,PhD,1,Full,CUET,Accepted
Brigham Young University,3.35,324,96,7.7,0,Biology,None,MS,3+,None,BUET,Accepted
University of Central Florida,3.65,309,105,7.7,1,EEE,Full-time Job,PhD,2+,Full,KUET,Rejected
Saint Louis University,3.22,302,85,8.0,0,ME,Full-time Job,MS,2,None,KUET,Rejected
Rensselaer Polytechnic Institute,3.86,317,110,7.3,0,Biology,Internship,MS,3,Full,CUET,Rejected
University of Toledo,3.37,305,95,7.6,0,CSE,Full-time Job,PhD,2,Partial,BRAC,Accepted
Texas Tech University,3.45,329,93,7.1,2,Mathematics,Full-time Job,MS,3,Partial,BRAC,Accepted
"University of California, Santa Barbara",3.8,297,103,7.1,2,ME,None,PhD,3+,Partial,DU,Rejected
University College Dublin,3.74,329,104,7.0,0,CE,None,PhD,3,Partial,DU,Accepted
Iowa State University,3.28,314,86,7.4,0,Biology,None,MS,0,Partial,RUET,Accepted
"University of California, Santa Cruz",3.68,300,116,7.6,0,ME,Internship,MS,3+,None,DU,Rejected
George Mason University,3.38,311,102,7.8,2,CSE,None,PhD,1,Partial,NSU,Accepted
University of Tennessee,3.41,311,102,7.9,0,ME,Internship,MS,3,None,IUT,Accepted
Pratt Institute,3.74,319,93,7.6,2,ME,None,MS,2+,None,NSU,Rejected
Worcester Polytechnic Institute,3.44,304,95,7.7,0,EEE,None,MS,2,Partial,NSU,Accepted
Dartmouth College,2.79,323,97,7.3,0,CSE,Internship,MS,3+,Partial,CUET,Accepted
University of Southern California,3.7,314,117,7.8,0,CE,Internship,PhD,2,None,BRAC,Rejected
Texas State University,3.87,302,98,7.2,0,Mathematics,None,MS,2+,Partial,IUT,Rejected
Saint Louis University,3.65,336,94,7.4,1,CE,Internship,PhD,2,None,BUET,Rejected
University of Idaho,3.07,314,94,8.3,1,Biology,Full-time Job,MS,2,None,RUET,Accepted
Rensselaer Polytechnic Institute,3.85,312,118,8.2,2,Biology,Internship,MS,1,Full,KUET,Accepted
University of Houston,3.52,306,90,7.9,1,Physics,None,MS,1,Full,BUET,Accepted
Boston University,3.42,330,104,7.7,0,EEE,Internship,PhD,3+,None,DU,Rejected
Virginia Tech,3.39,320,105,7.9,0,Physics,None,PhD,3,None,CUET,Accepted
Idaho State University,3.76,313,104,6.8,0,Biology,Internship,MS,0,Partial,BRAC,Rejected
The University of Texas at Austin,3.61,313,82,7.9,0,CE,Full-time Job,MS,2,None,NSU,Rejected
University of Pennsylvania,2.95,311,80,7.7,0,EEE,Full-time Job,MS,1,Partial,CUET,Accepted
University of Illinois Urbana-Champaign,2.98,308,100,8.2,2,Physics,Internship,PhD,2,Full,DU,Rejected
Florida State University,3.2,303,108,8.3,0,Mathematics,Internship,PhD,3,None,NSU,Rejected
Pratt Institute,3.89,293,99,7.6,1,CE,None,MS,3+,None,KUET,Rejected
Rice University,3.15,318,92,8.1,0,Physics,None,MS,2+,Partial,KUET,Rejected
Washington State University,3.58,323,103,7.6,2,CE,Full-time Job,PhD,2+,Partial,DU,Rejected
University of Minnesota Duluth,3.5,302,95,7.4,0,EEE,Internship,PhD,2,None,RUET,Accepted
University of Massachusetts Amherst,3.26,307,91,8.2,0,CSE,Internship,MS,3+,None,NSU,Rejected
Binghamton University,3.65,294,90,7.1,1,Biology,Full-time Job,PhD,3+,Partial,IUT,Accepted
Rensselaer Polytechnic Institute,3.14,297,100,7.9,0,CE,Internship,PhD,2+,None,IUT,Rejected
University College Dublin,3.42,311,102,8.2,2,CE,Full-time Job,PhD,3,None,NSU,Accepted
University of Arizona,3.36,301,103,7.7,2,EEE,Internship,PhD,1,Partial,BRAC,Accepted
Carnegie Mellon University,3.84,316,91,6.9,1,EEE,Internship,PhD,0,Full,DU,Rejected
University of Florida,3.73,320,90,7.6,0,EEE,Full-time Job,PhD,2+,Partial,CUET,Accepted
Stevens Institute of Technology,3.39,314,101,7.8,2,EEE,Internship,MS,2,None,BRAC,Accepted
Auburn University,2.77,296,85,7.7,0,Mathematics,None,MS,2,Partial,NSU,Rejected
Case Western Reserve University,3.54,325,105,8.2,0,EEE,Full-time Job,PhD,3,Partial,RUET,Rejected
Idaho State University,3.04,320,91,7.5,0,CE,None,MS,3,None,IUT,Accepted
Arizona State University,3.26,314,120,7.9,0,ME,None,PhD,2+,Partial,CUET,Rejected
"University of Maryland, Baltimore County",3.55,324,96,7.2,0,Mathematics,None,PhD,0,Full,KUET,Accepted
Binghamton University,3.47,315,92,6.5,0,CSE,None,MS,0,None,IUT,Accepted
University of Toledo,4.0,304,80,7.2,2,Mathematics,None,PhD,3+,Partial,DU,Rejected
University of Wisconsin-Madison,3.28,296,107,7.8,0,Physics,None,PhD,3+,Full,KUET,Accepted
University of Delaware,3.84,313,101,7.2,2,EEE,None,PhD,3+,None,BRAC,Accepted
"University of Maryland, Baltimore County",3.33,304,102,6.9,0,CE,Internship,PhD,3,None,DU,Rejected
Pennsylvania State University,3.5,324,89,7.7,1,EEE,None,PhD,3+,None,RUET,Accepted
University of Colorado Boulder,3.66,304,89,7.3,0,CE,Internship,MS,1,None,KUET,Rejected
University of Wyoming,2.98,302,97,7.4,1,CSE,None,MS,3,None,KUET,Rejected
University of Houston,3.74,292,98,7.5,2,Mathematics,None,PhD,2,None,CUET,Accepted
Harvard University,3.73,315,99,7.4,0,Biology,Full-time Job,PhD,3,Full,NSU,Rejected
Clemson University,3.36,309,115,7.8,0,EEE,Full-time Job,MS,2+,None,CUET,Rejected
Texas Tech University,3.29,313,99,8.0,0,Physics,Full-time Job,MS,3+,Partial,DU,Accepted
University of Wisconsin–Madison,3.17,315,109,7.2,0,CE,None,MS,1,Full,NSU,Accepted
Saint Louis University,3.47,322,90,7.0,1,ME,None,PhD,2,None,RUET,Rejected
Harvard University,3.53,327,104,6.9,2,CE,Internship,PhD,3+,Partial,KUET,Accepted
University of North Carolina at Charlotte,2.78,315,104,8.1,1,Biology,None,PhD,3,None,RUET,Accepted
University of Virginia,2.89,315,111,6.6,2,CSE,Internship,MS,1,Full,RUET,Rejected
Universiti Teknologi PETRONAS,3.67,313,108,7.4,0,CSE,Full-time Job,PhD,1,None,BUET,Accepted
University of Texas at Austin,3.33,300,107,7.8,1,EEE,None,PhD,2+,Full,BRAC,Rejected
University of Maryland,3.49,315,85,6.6,0,Biology,Internship,PhD,3,Partial,NSU,Rejected
Texas State University,3.06,300,100,7.3,0,ME,Internship,MS,2+,Full,IUT,Accepted
North Carolina State University,3.13,317,112,7.1,0,Physics,Full-time Job,MS,3+,Full,CUET,Rejected
Georgia Institute of Technology,3.81,299,103,7.5,0,Physics,None,MS,2+,Full,KUET,Accepted
Princeton University,3.35,302,99,8.0,0,CSE,Internship,PhD,2+,None,BUET,Accepted
University of California Merced,2.96,327,103,7.8,0,CE,Full-time Job,PhD,1,Full,BUET,Accepted
Saint Louis University,3.62,307,104,6.6,1,CE,None,MS,2+,Partial,KUET,Accepted
Carnegie Mellon University,3.52,319,95,7.4,0,Biology,None,MS,3,Partial,CUET,Rejected
Saint Louis University,2.75,320,98,6.6,2,ME,Internship,PhD,2+,Full,DU,Rejected
Yale University,3.34,313,107,8.2,0,CSE,None,PhD,2+,Full,IUT,Accepted
University of Nebraska-Lincoln,3.3,335,97,7.1,2,CE,None,MS,1,Full,DU,Accepted
Florida State University,3.65,298,99,7.5,2,Physics,Full-time Job,MS,1,Partial,DU,Accepted
University of Chicago,3.33,306,101,7.3,0,EEE,Internship,PhD,0,Partial,BUET,Accepted
University of Washington,3.03,312,100,8.3,2,Biology,Full-time Job,MS,2+,None,BRAC,Accepted
"University of California, Berkeley",3.37,293,84,7.7,0,Physics,Internship,MS,2,None,IUT,Rejected
Louisiana State University,3.51,318,94,7.7,1,ME,Internship,MS,3+,Partial,BRAC,Accepted
University of Alabama,3.5,307,98,6.9,1,Physics,None,MS,1,Partial,CUET,Rejected
University of Notre Dame,3.47,327,84,7.4,2,Physics,Internship,MS,2+,Full,BUET,Rejected
West Virginia University,3.61,290,95,8.0,2,CE,None,MS,3+,Full,IUT,Rejected
Syracuse University,3.52,299,80,8.1,1,EEE,Full-time Job,PhD,1,Full,NSU,Accepted
University of Massachusetts Dartmouth,4.0,301,86,7.8,0,ME,Internship,PhD,1,Full,NSU,Rejected
University of Idaho,3.15,317,97,8.0,0,Mathematics,Full-time Job,MS,3+,Full,CUET,Accepted
Johns Hopkins University,2.97,307,100,7.3,0,EEE,Full-time Job,PhD,2+,None,KUET,Rejected
University of Tennessee,2.99,321,95,7.0,0,CSE,Internship,PhD,3,Full,BUET,Rejected
University of Nebraska-Lincoln,3.96,310,103,7.1,0,ME,Full-time Job,MS,2,Partial,NSU,Accepted
"University of California, Riverside",3.24,300,86,7.1,1,Biology,Internship,PhD,2+,Full,NSU,Rejected
Pratt Institute,3.07,335,93,8.3,0,EEE,Full-time Job,PhD,2+,None,IUT,Rejected
Louisiana State University,3.7,326,117,8.1,0,Biology,Internship,PhD,2,Full,IUT,Rejected
University of Connecticut ,3.37,327,107,8.0,0,ME,None,PhD,3,None,RUET,Rejected
University of Vermont,2.77,313,95,7.3,0,Physics,None,PhD,3,Full,IUT,Accepted
Buffalo State University,3.31,326,94,7.6,0,CSE,None,PhD,3,Full,DU,Accepted
Duke University,3.71,311,96,6.5,0,CSE,Full-time Job,MS,2+,Full,RUET,Accepted
University of Arizona,2.95,309,109,7.6,0,CE,Internship,PhD,1,Partial,NSU,Accepted
Washington University in St. Louis,3.09,316,84,7.4,0,CE,Internship,PhD,3,Partial,NSU,Accepted
Saint Louis University,4.0,299,113,6.9,0,Biology,None,MS,2+,Full,RUET,Accepted
Mississippi State University,3.08,290,115,8.3,0,Biology,Full-time Job,PhD,2+,None,IUT,Rejected
Rensselaer Polytechnic Institute,3.56,310,100,7.3,0,EEE,Internship,PhD,0,Full,KUET,Accepted
University of Utah,3.43,300,88,7.0,0,EEE,None,PhD,3,None,DU,Accepted
New Mexico Institute of Mining and Technology,3.2,298,87,7.3,2,ME,Full-time Job,PhD,2,None,RUET,Rejected
University of Wisconsin-Madison,3.52,301,110,7.6,0,Biology,Full-time Job,PhD,1,Partial,IUT,Accepted
Rutgers University,2.88,329,110,6.6,1,EEE,Internship,MS,2+,Partial,BUET,Rejected
University of Florida,2.68,311,85,7.8,1,Biology,Internship,PhD,1,None,RUET,Rejected
Washington University in St. Louis,3.14,298,109,7.9,1,Mathematics,Internship,MS,0,Partial,DU,Rejected
University of Texas at Arlington,3.82,307,92,7.3,0,ME,Full-time Job,MS,0,Full,NSU,Accepted
University of Pennsylvania,3.34,291,93,6.7,0,EEE,Internship,MS,2,None,IUT,Rejected
University of Texas at El Paso,3.5,290,94,6.8,0,Physics,Full-time Job,MS,0,None,RUET,Accepted
University of Wisconsin-Madison,3.32,308,90,7.5,0,CSE,None,PhD,2+,None,KUET,Rejected
Mississippi State University,3.19,307,98,7.9,0,ME,Internship,MS,0,None,BUET,Rejected
University of North Carolina at Chapel Hill,3.83,312,92,7.0,0,Mathematics,None,MS,3,None,IUT,Rejected
University College Dublin,3.63,309,107,7.5,2,Mathematics,Internship,MS,1,Partial,DU,Accepted
University of Connecticut ,3.9,297,83,7.4,0,CE,None,PhD,1,Full,BUET,Accepted
Louisiana State University,3.63,306,109,7.4,2,Biology,Full-time Job,MS,3,Partial,DU,Rejected
University of Wollongong,2.92,307,109,7.3,1,Mathematics,Internship,PhD,3,Partial,BUET,Accepted
University of North Carolina at Charlotte,3.35,316,97,7.4,2,Physics,Internship,PhD,3+,Partial,NSU,Rejected
University of Southern California,3.74,301,102,7.8,0,CE,Internship,MS,3,Full,RUET,Rejected
The University of Texas at Arlington,3.92,295,106,7.7,0,ME,Full-time Job,PhD,1,Full,CUET,Accepted
Michigan State University,3.87,307,88,6.7,2,CE,Internship,MS,2,None,KUET,Accepted
Yale University,3.43,325,101,7.6,0,Biology,None,PhD,1,Full,CUET,Rejected
Louisiana Tech University,3.32,305,102,8.3,0,ME,Internship,PhD,3+,Full,NSU,Rejected
University of Louisiana at Lafayette,3.17,308,107,6.3,0,Physics,Full-time Job,MS,3,Partial,KUET,Rejected
University of Windsor,3.82,309,103,6.3,0,CSE,Full-time Job,MS,1,Partial,BRAC,Accepted
Colorado State University,3.75,302,106,8.3,0,CE,None,MS,3,Partial,BRAC,Accepted
Washington State University,3.61,300,101,8.2,0,EEE,Full-time Job,PhD,0,Partial,RUET,Rejected
University of Michigan,3.48,312,94,7.5,0,Mathematics,Internship,MS,2,Full,IUT,Accepted
University of Oklahoma,3.41,301,93,7.9,0,CE,None,MS,2,Full,CUET,Rejected
Johns Hopkins University,3.17,310,112,7.5,0,EEE,Full-time Job,PhD,0,Full,NSU,Rejected
University of Arizona,3.3,321,82,6.7,1,EEE,None,MS,0,None,CUET,Rejected
Virginia Tech,3.29,306,102,6.5,0,Physics,None,PhD,3,Partial,BUET,Rejected
University of Windsor,3.21,303,83,7.9,0,CE,Full-time Job,MS,3,Full,DU,Rejected
