University,Decision,Degree,Funding,Ugrad_Major,Work_Experience,Paper,Ugrad,CGPA,GRE,TOEFL,IELTS,Gap_year,Applied
University of Louisiana at Lafayette,Accepted,PhD,Full,CSE,No,0,BUET,3.5,0,110,8,1,2025
Massachusetts Institute of Technology,Rejected,PhD,N/A,CSE,No,0,BUET,3.5,0,110,8,1,2025
Texas Tech University,Accepted,PhD,Full,ChE,Industry Internship,0,BUET,3.71,0,101,0,1,2025
Colorado School of Mines,Accepted,PhD,Partial,ChE,Industry Internship,0,BUET,3.71,0,101,0,1,2025
University of Florida,Rejected,PhD,N/A,ChE,Industry Internship,0,BUET,3.71,0,101,0,1,2025
University of Virginia,Rejected,PhD,N/A,ChE,Industry Internship,0,BUET,3.71,0,101,0,1,2025
Virginia Tech,Rejected,PhD,N/A,ChE,Industry Internship,0,BUET,3.71,0,101,0,1,2025
Case Western Reserve University,Rejected,PhD,N/A,ChE,Industry Internship,0,BUET,3.71,0,101,0,1,2025
University of Pittsburgh,Rejected,PhD,N/A,ChE,Industry Internship,0,BUET,3.71,0,101,0,1,2025
Washington University in St. Louis,Accepted,PhD,Full,EEE,Full-time Job,1,BUET,3.82,0,101,0,1,2024
University of Maryland,Rejected,PhD,N/A,EEE,Full-time Job,1,BUET,3.82,0,101,0,1,2024
University of Wisconsin-Madison,Rejected,PhD,N/A,EEE,Full-time Job,1,BUET,3.82,0,101,0,1,2024
Boston University,Rejected,PhD,N/A,EEE,Full-time Job,1,BUET,3.82,0,101,0,1,2024
University of Michigan,Rejected,PhD,N/A,EEE,Full-time Job,1,BUET,3.82,0,101,0,1,2024
Northeastern University,Rejected,PhD,N/A,EEE,Full-time Job,1,BUET,3.82,0,101,0,1,2024
Stevens Institute of Technology,Accepted,PhD,Partial,EEE,Full-time Job,1,BUET,3.67,314,109,0,1,2024
New Jersey Institute of Technology,Accepted,PhD,Full,EEE,Full-time Job,1,BUET,3.67,314,109,0,1,2024
University of North Carolina at Charlotte,Accepted,PhD,Partial,EEE,Full-time Job,1,BUET,3.67,314,109,0,1,2024
Worcester Polytechnic Institute,Accepted,PhD,Partial,EEE,Full-time Job,1,BUET,3.67,314,109,0,1,2024
Purdue University,Accepted,PhD,Full,CSE,Full-time Job,2+,BUET,3.5,315,102,0,1,2023
Arizona State University,Accepted,PhD,Partial,CSE,Full-time Job,2+,BUET,3.5,315,102,0,1,2023
Washington State University,Accepted,PhD,Partial,CSE,Full-time Job,2+,BUET,3.5,315,102,0,1,2023
University of Maryland,Rejected,PhD,N/A,CSE,Full-time Job,2+,BUET,3.5,315,102,0,1,2023
Pennsylvania State University,Rejected,PhD,N/A,CSE,Full-time Job,2+,BUET,3.5,315,102,0,1,2023
University of Virginia,Rejected,PhD,N/A,CSE,Full-time Job,2+,BUET,3.5,315,102,0,1,2023
Virginia Tech,Rejected,PhD,N/A,CSE,Full-time Job,2+,BUET,3.5,315,102,0,1,2023
University of Colorado Boulder,Rejected,PhD,N/A,CSE,Full-time Job,2+,BUET,3.5,315,102,0,1,2023
"University of California, Riverside",Rejected,PhD,N/A,CSE,Full-time Job,2+,BUET,3.5,315,102,0,1,2023
North Carolina State University,Rejected,PhD,N/A,CSE,Full-time Job,2+,BUET,3.5,315,102,0,1,2023
University of Notre Dame,Rejected,PhD,N/A,CSE,Full-time Job,2+,BUET,3.5,315,102,0,1,2023
University of Alabama,Accepted,PhD,Full,EEE,No,0,BUET,3.3,324,112,0,1,2024
West Virginia University,Accepted,PhD,Full,MME,Research Internship,2+,BUET,3.35,307,0,7,1,2025
University of Cincinnati,Accepted,PhD,Partial,MME,Research Internship,2+,BUET,3.35,307,0,7,1,2025
Lehigh University,Accepted,PhD,Partial,MME,Research Internship,2+,BUET,3.35,307,0,7,1,2025
University of Wisconsin–Madison,Rejected,PhD,N/A,MME,Research Internship,2+,BUET,3.35,307,0,7,1,2025
University of Virginia,Rejected,PhD,N/A,MME,Research Internship,2+,BUET,3.35,307,0,7,1,2025
South Dakota State University,Accepted,PhD,Full,ME,No,1,BUET,3.24,317,0,8,1,2025
University of Oklahoma,Accepted,MS,No,NAME,Industry Internship,1,BUET,3.26,314,,7.5,1,2025
Auburn University,Accepted,PhD,No,NAME,Industry Internship,1,BUET,3.26,314,,7.5,1,2025
University of Maryland,Accepted,PhD,Full,EEE,"Research Internship
Full-time Job",2+,BUET,3.57,321,109,0,1,2023
"University of Maryland, Baltimore County",Accepted,PhD,Full,EEE,"Research Internship
Full-time Job",2+,BUET,3.57,321,109,0,1,2023
North Carolina State University,Accepted,PhD,Full,EEE,"Research Internship
Full-time Job",2+,BUET,3.57,321,109,0,1,2023
George Mason University,Accepted,PhD,Full,CSE,Full-timeJob,0,BUET,3.5,316,110,0,1,2025
